id_employe,nom,prenom,poste,nom_departement,date_embauche,date_depart,salaire,statut,cohorte_embauche,anciennete_annees,score_moyen,categorie_performance
3,Nom_3,Prenom_3,Manager,Ressources Humaines,2019-11-27,,2447,Actif,2019,6.64,68.3,Faible
12,Nom_12,Prenom_12,Analyste,Ressources Humaines,2022-08-25,2026-04-12,2473,Parti,2022,3.63,75.3,Moyen
13,Nom_13,Prenom_13,Manager,Ressources Humaines,2021-02-08,,3867,Actif,2021,5.43,82.5,Eleve
20,Nom_20,Prenom_20,RH,Ressources Humaines,2021-08-13,,4430,Actif,2021,4.93,80.2,Eleve
21,Nom_21,Prenom_21,Analyste,Ressources Humaines,2019-10-04,,946,Actif,2019,6.78,72.1,Faible
26,Nom_26,Prenom_26,Manager,Ressources Humaines,2019-09-10,,4160,Actif,2019,6.85,71.0,Faible
45,Nom_45,Prenom_45,Manager,Ressources Humaines,2021-04-11,,2148,Actif,2021,5.26,71.5,Faible
62,Nom_62,Prenom_62,Developpeur,Ressources Humaines,2021-06-16,,2421,Actif,2021,5.08,77.5,Eleve
68,Nom_68,Prenom_68,Developpeur,Ressources Humaines,2022-12-22,,1517,Actif,2022,3.57,70.4,Faible
104,Nom_104,Prenom_104,Finance,Ressources Humaines,2021-05-28,2024-09-24,3993,Parti,2021,3.33,71.7,Faible
105,Nom_105,Prenom_105,Developpeur,Ressources Humaines,2021-12-12,,3466,Actif,2021,4.59,79.2,Eleve
116,Nom_116,Prenom_116,Finance,Ressources Humaines,2020-06-04,,4239,Actif,2020,6.12,73.8,Moyen
128,Nom_128,Prenom_128,Developpeur,Ressources Humaines,2019-10-16,,2088,Actif,2019,6.75,76.0,Moyen
154,Nom_154,Prenom_154,RH,Ressources Humaines,2023-01-25,,3233,Actif,2023,3.47,72.2,Faible
166,Nom_166,Prenom_166,Developpeur,Ressources Humaines,2021-11-04,,1183,Actif,2021,4.7,74.9,Moyen
169,Nom_169,Prenom_169,Analyste,Ressources Humaines,2023-01-24,,3525,Actif,2023,3.48,71.7,Faible
180,Nom_180,Prenom_180,Finance,Ressources Humaines,2022-12-01,,2614,Actif,2022,3.62,73.0,Moyen
196,Nom_196,Prenom_196,Analyste,Ressources Humaines,2023-05-17,,4559,Actif,2023,3.17,74.8,Moyen
202,Nom_202,Prenom_202,Analyste,Ressources Humaines,2023-04-29,,4972,Actif,2023,3.22,75.1,Moyen
214,Nom_214,Prenom_214,Finance,Ressources Humaines,2022-11-01,,4526,Actif,2022,3.71,73.8,Moyen
241,Nom_241,Prenom_241,Finance,Ressources Humaines,2020-07-17,,1372,Actif,2020,6.0,79.3,Eleve
243,Nom_243,Prenom_243,Finance,Ressources Humaines,2023-03-14,,3702,Actif,2023,3.34,80.3,Eleve
260,Nom_260,Prenom_260,Finance,Ressources Humaines,2020-01-20,,4214,Actif,2020,6.49,70.8,Faible
269,Nom_269,Prenom_269,Analyste,Ressources Humaines,2022-12-10,,2549,Actif,2022,3.6,71.5,Faible
275,Nom_275,Prenom_275,Finance,Ressources Humaines,2019-05-03,,1935,Actif,2019,7.21,78.8,Eleve
